sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,accessories_size,accessories_type,apparel_type,author_artist,bag_luggage_type,bedding_pattern,bed_bath_type,books_music_type,camera_megapixels,camera_type,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,decor_type,description,electronic_type,fit,format,frame_style,gallery,gender,gendered,genre,gift_message_available,gift_wrapping_available,gift_wrapping_price,has_options,homeware_style,home_decor_type,image,image_label,jewelry_type,length,lens_type,luggage_size,luggage_style,luggage_travel_style,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,necklace_length,news_from_date,news_to_date,occasion,options_container,page_layout,price,required_options,shoe_size,shoe_type,short_description,size,sleeve_length,small_image,small_image_label,special_from_date,special_price,special_to_date,status,style,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,width,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,_custom_option_store,_custom_option_type,_custom_option_title,_custom_option_is_required,_custom_option_price,_custom_option_sku,_custom_option_max_characters,_custom_option_sort_order,_custom_option_row_title,_custom_option_row_price,_custom_option_row_sku,_custom_option_row_sort,_super_products_sku,_super_attribute_code,_super_attribute_option,_super_attribute_price_corr
msj000,,Clothing,simple,Men/Shirts,"Default Category",base,,,Shirts,,,,,,,,White,,,"2013-03-05 11:18:12",,,,,,"Button front. Long sleeves. Tapered collar, chest pocket, french cuffs.",,Regular,,,,Male,,,,,,0,,,/m/s/msj000t_1.jpg,,,,,,,,,,,,,,,,"Use config","Use config","French Cuff Cotton Twill Oxford",,,,Career,"Product Info Column","1 column",190.0000,0,,,"Made with wrinkle resistant cotton twill, this French-cuffed luxury dress shirt is perfect for Business Class frequent flyers.",S,"Long Sleeve",/m/s/msj000t_1.jpg,,,,,1,,2,/m/s/msj000t_1.jpg,,"2013-03-05 13:57:15",french-cuff-cotton-twill-oxford,french-cuff-cotton-twill-oxford.html,1,1.0000,,14.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
msj001,,Clothing,simple,Men/Shirts,"Default Category",base,,,Shirts,,,,,,,,White,,,"2013-03-05 11:18:13",,,,,,"Button front. Long sleeves. Tapered collar, chest pocket, french cuffs.",,Regular,,,,Male,,,,,,0,,,/m/s/msj000t_1.jpg,,,,,,,,,,,,,,,,"Use config","Use config","French Cuff Cotton Twill Oxford",,,,Career,"Product Info Column","1 column",190.0000,0,,,"Made with wrinkle resistant cotton twill, this French-cuffed luxury dress shirt is perfect for Business Class frequent flyers.",M,"Long Sleeve",/m/s/msj000t_1.jpg,,,,,1,,2,/m/s/msj000t_1.jpg,,"2013-03-05 13:57:15",french-cuff-cotton-twill-oxford,french-cuff-cotton-twill-oxford-568.html,1,1.0000,,25.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/m/s/msj000a_1.jpg,,2,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/m/s/msj000c_1.jpg,,4,0,,,,,,,,,,,,,,,,
msj002,,Clothing,simple,Men/Shirts,"Default Category",base,,,Shirts,,,,,,,,White,,,"2013-03-05 11:18:13",,,,,,"Button front. Long sleeves. Tapered collar, chest pocket, french cuffs.",,Regular,,,,Male,,,,,,0,,,/m/s/msj000t_1.jpg,,,,,,,,,,,,,,,,"Use config","Use config","French Cuff Cotton Twill Oxford",,,,Career,"Product Info Column","1 column",190.0000,0,,,"Made with wrinkle resistant cotton twill, this French-cuffed luxury dress shirt is perfect for Business Class frequent flyers.",L,"Long Sleeve",/m/s/msj000t_1.jpg,,,,,1,,2,/m/s/msj000t_1.jpg,,"2013-03-05 13:57:15",french-cuff-cotton-twill-oxford,french-cuff-cotton-twill-oxford-569.html,1,1.0000,,24.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/m/s/msj000t_1.jpg,,1,0,,,,,,,,,,,,,,,,
msj003,,Clothing,simple,Men/Shirts,"Default Category",base,,,Shirts,,,,,,,,Blue,,,"2013-03-05 11:18:13",,,,,,"Tailored/Slim fit. Long sleeves. Button cuff. Cotton. Imported.",,Slim,,,,Male,,,,,,0,,,/m/s/msj003t_1.jpg,,,,,,,,,,,,,,,,"Use config","Use config","Slim fit Dobby Oxford Shirt",,,,Evening,"Product Info Column","1 column",175.0000,0,,,"A bold hue and understated dobby detail bring refined nuance to this modern dress shirt. ",S,"Long Sleeve",/m/s/msj003t_1.jpg,,,,,1,,2,/m/s/msj003t_1.jpg,,"2013-03-05 13:57:15",slim-fit-dobby-oxford-shirt,slim-fit-dobby-oxford-shirt.html,1,1.0000,,25.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/m/s/msj003t_1.jpg,,1,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/m/s/msj003a_1.jpg,,2,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/m/s/msj003b_1.jpg,,3,0,,,,,,,,,,,,,,,,
msj004,,Clothing,simple,Men/Shirts,"Default Category",base,,,Shirts,,,,,,,,Blue,,,"2013-03-05 11:18:13",,,,,,"Tailored/Slim fit. Long sleeves. Button cuff. Cotton. Imported.",,Slim,,,,Male,,,,,,0,,,/m/s/msj003t_1.jpg,,,,,,,,,,,,,,,,"Use config","Use config","Slim fit Dobby Oxford Shirt",,,,Evening,"Product Info Column","1 column",175.0000,0,,,"A bold hue and understated dobby detail bring refined nuance to this modern dress shirt. ",M,"Long Sleeve",/m/s/msj003t_1.jpg,,,,,1,,2,/m/s/msj003t_1.jpg,,"2013-03-05 13:57:15",slim-fit-dobby-oxford-shirt,slim-fit-dobby-oxford-shirt-570.html,1,1.0000,,25.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/m/s/msj003t_1.jpg,,1,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/m/s/msj003a_1.jpg,,2,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/m/s/msj003b_1.jpg,,3,0,,,,,,,,,,,,,,,,
